"SUBJID","COUNTRY_SELF"
8082,"Swiss French"
47546,"Swiss French"
24190,"Swiss French"
9638,"Swiss French"
39383,"Swiss French"
14888,"Swiss French"
37083,"Swiss French"
20126,"Swiss French"
28551,"Swiss French"
34164,"Swiss French"
26466,"Swiss French"
13838,"Swiss French"
1492,"Swiss French"
49287,"Swiss French"
5038,"Swiss French"
15960,"Swiss French"
5365,"Swiss French"
6319,"Swiss French"
33613,"Swiss French"
8040,"Swiss French"
7975,"Swiss French"
36862,"Swiss French"
44843,"Swiss French"
39182,"Swiss French"
28090,"Swiss French"
15677,"Swiss French"
36680,"Swiss French"
9564,"Swiss French"
47743,"Swiss French"
29231,"Swiss French"
42047,"Swiss French"
21791,"Swiss French"
44179,"Swiss French"
29578,"Swiss French"
37114,"Swiss French"
41108,"Swiss French"
3079,"Swiss French"
47929,"Swiss French"
13481,"Swiss French"
41460,"Swiss French"
34964,"Swiss French"
19703,"Swiss French"
30607,"Swiss French"
39841,"Swiss French"
46187,"Swiss French"
25325,"Swiss French"
35513,"Swiss French"
38978,"Swiss French"
11340,"Swiss French"
20228,"Swiss French"
13285,"Swiss French"
14587,"Swiss French"
26316,"Swiss French"
1832,"Swiss French"
18474,"Swiss French"
40395,"Swiss French"
29082,"Swiss French"
23568,"Swiss French"
40146,"Swiss French"
19426,"Swiss French"
5102,"Swiss French"
25193,"Swiss French"
26042,"Swiss French"
39151,"Swiss French"
1045,"Swiss French"
6453,"Swiss French"
16963,"Swiss French"
39674,"Swiss French"
21070,"Swiss French"
